Start Time,End Time,Subtitle Text Raw,Video Title,YouTube ID,Subtitle Text Clean,Subtitle Text
00:00:03.040,00:00:08.960,hello and welcome to the session on deep,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,hello and welcome to the session on deep,hello and welcome to the session on deep
00:00:05.920,00:00:11.599,learning my name is mohan and in this,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning my name is mohan and in this,learning my name is mohan and in this
00:00:08.960,00:00:14.080,video we are going to talk about what,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,video we are going to talk about what,video we are going to talk about what
00:00:11.599,00:00:16.160,deep learning is all about some of you,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,deep learning is all about some of you,deep learning is all about some of you
00:00:14.080,00:00:19.520,may be already familiar with the image,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,may be already familiar with the image,may be already familiar with the image
00:00:16.160,00:00:22.640,recognition how does image recognition,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,recognition how does image recognition,recognition how does image recognition
00:00:19.520,00:00:25.680,work you can train this application or,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,work you can train this application or,work you can train this application or
00:00:22.640,00:00:28.080,your machine to recognize whether a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,your machine to recognize whether a,your machine to recognize whether a
00:00:25.680,00:00:30.080,given image is a cat or a dog and this,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,given image is a cat or a dog and this,given image is a cat or a dog and this
00:00:28.080,00:00:32.239,is how it works at a very high level it,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,is how it works at a very high level it,is how it works at a very high level it
00:00:30.080,00:00:34.480,uses artificial neural network it is,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,uses artificial neural network it is,uses artificial neural network it is
00:00:32.239,00:00:36.559,trained with some known images and,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,trained with some known images and,trained with some known images and
00:00:34.480,00:00:38.960,during the training it is told if it is,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,during the training it is told if it is,during the training it is told if it is
00:00:36.559,00:00:41.040,recognizing correctly or not and then,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,recognizing correctly or not and then,recognizing correctly or not and then
00:00:38.960,00:00:42.960,when new images are submitted it,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,when new images are submitted it,when new images are submitted it
00:00:41.040,00:00:45.680,recognizes correctly based on the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,recognizes correctly based on the,recognizes correctly based on the
00:00:42.960,00:00:47.600,accuracy of course so a little quick,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,accuracy of course so a little quick,accuracy of course so a little quick
00:00:45.680,00:00:50.480,understanding about artificial neural,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,understanding about artificial neural,understanding about artificial neural
00:00:47.600,00:00:53.600,networks so this is the way it does is,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,networks so this is the way it does is,networks so this is the way it does is
00:00:50.480,00:00:56.000,you provide a lot of training data also,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,you provide a lot of training data also,you provide a lot of training data also
