Subtitle Text Raw,Subtitle Text Clean,Subtitle Text,Start Time,End Time,Video Title,YouTube ID
hello and welcome to the session on deep,hello and welcome to the session on deep,hello and welcome to the session on deep,00:00:03.040,00:00:08.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
learning my name is mohan and in this,learning my name is mohan and in this,learning my name is mohan and in this,00:00:05.920,00:00:11.599,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
video we are going to talk about what,video we are going to talk about what,video we are going to talk about what,00:00:08.960,00:00:14.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
deep learning is all about some of you,deep learning is all about some of you,deep learning is all about some of you,00:00:11.599,00:00:16.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
may be already familiar with the image,may be already familiar with the image,may be already familiar with the image,00:00:14.080,00:00:19.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
recognition how does image recognition,recognition how does image recognition,recognition how does image recognition,00:00:16.160,00:00:22.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
work you can train this application or,work you can train this application or,work you can train this application or,00:00:19.520,00:00:25.680,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
your machine to recognize whether a,your machine to recognize whether a,your machine to recognize whether a,00:00:22.640,00:00:28.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
given image is a cat or a dog and this,given image is a cat or a dog and this,given image is a cat or a dog and this,00:00:25.680,00:00:30.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
is how it works at a very high level it,is how it works at a very high level it,is how it works at a very high level it,00:00:28.080,00:00:32.239,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
uses artificial neural network it is,uses artificial neural network it is,uses artificial neural network it is,00:00:30.080,00:00:34.480,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
trained with some known images and,trained with some known images and,trained with some known images and,00:00:32.239,00:00:36.559,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
during the training it is told if it is,during the training it is told if it is,during the training it is told if it is,00:00:34.480,00:00:38.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
recognizing correctly or not and then,recognizing correctly or not and then,recognizing correctly or not and then,00:00:36.559,00:00:41.040,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
when new images are submitted it,when new images are submitted it,when new images are submitted it,00:00:38.960,00:00:42.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
recognizes correctly based on the,recognizes correctly based on the,recognizes correctly based on the,00:00:41.040,00:00:45.680,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
accuracy of course so a little quick,accuracy of course so a little quick,accuracy of course so a little quick,00:00:42.960,00:00:47.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
understanding about artificial neural,understanding about artificial neural,understanding about artificial neural,00:00:45.680,00:00:50.480,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
networks so this is the way it does is,networks so this is the way it does is,networks so this is the way it does is,00:00:47.600,00:00:53.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
you provide a lot of training data also,you provide a lot of training data also,you provide a lot of training data also,00:00:50.480,00:00:56.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
known as labeled data for example in,known as labeled data for example in,known as labeled data for example in,00:00:53.600,00:00:59.359,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
this case these are the images of dogs,this case these are the images of dogs,this case these are the images of dogs,00:00:56.000,00:01:02.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and the network extracts some features,and the network extracts some features,and the network extracts some features,00:00:59.359,00:01:05.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
that makes a dog a dog right so that is,that makes a dog a dog right so that is,that makes a dog a dog right so that is,00:01:02.640,00:01:08.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
known as feature extraction and based on,known as feature extraction and based on,known as feature extraction and based on,00:01:05.600,00:01:11.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
that when you submit a new image of dog,that when you submit a new image of dog,that when you submit a new image of dog,00:01:08.640,00:01:13.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the basic features remain pretty much,the basic features remain pretty much,the basic features remain pretty much,00:01:11.760,00:01:15.119,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
